id_estudiante,fecha,total
1820,2020-11-08,11.00
2684,2021-12-13,180.00
225,2021-09-04,695.00
4279,2020-12-09,1010.00
4288,2022-12-04,488.00
1220,2020-11-23,281.00
2761,2024-04-13,6.00
1340,2022-12-02,141.00
2993,2023-10-04,1058.00
4043,2024-10-14,324.00
318,2021-05-02,677.50
4611,2022-06-25,924.00
3239,2021-01-11,300.00
845,2021-03-15,1665.00
845,2025-08-17,16.00
3149,2023-06-30,1245.00
3963,2025-05-06,757.50
1856,2025-08-12,652.50
333,2025-08-30,134.00
278,2023-10-06,766.00
3510,2024-07-17,930.00
3105,2021-10-12,202.50
216,2022-11-07,120.00
887,2024-01-25,1440.00
3338,2025-03-10,1305.00
3036,2020-12-13,877.50
1873,2020-10-30,530.00
1591,2021-01-30,1640.00
4899,2025-07-14,550.00
3823,2021-07-24,951.00
372,2023-05-19,1015.00
4277,2023-04-24,514.00
1621,2024-10-01,359.00
2146,2023-08-05,775.00
2171,2020-11-28,910.00
251,2024-09-24,1505.00
1560,2021-02-14,883.00
3116,2022-08-07,1050.00
1359,2023-05-17,876.50
4791,2020-10-30,410.00
3504,2024-10-03,1170.00
544,2024-08-14,515.00
1822,2023-09-15,316.00
384,2022-10-16,375.00
138,2022-03-30,854.00
4623,2025-05-30,402.50
800,2021-12-28,66.00
892,2021-02-16,626.00
159,2021-07-28,260.00
4724,2020-10-13,195.50
76,2024-06-25,250.00
2113,2021-12-20,16.00
3439,2024-05-05,775.00
4511,2022-11-06,360.00
876,2024-01-06,1925.00
1841,2025-05-10,577.50
2249,2024-01-17,855.00
462,2023-01-16,800.00
4505,2022-02-04,915.00
1344,2023-01-31,386.00
1317,2024-03-05,1120.00
2946,2022-11-08,84.00
3137,2021-01-10,260.00
2525,2022-11-22,603.00
1832,2023-09-12,683.00
347,2024-12-31,750.00
2383,2021-01-31,375.00
3727,2023-04-08,250.00
1806,2023-06-02,1200.00
520,2024-11-28,782.00
4729,2024-07-07,139.00
439,2024-04-03,1350.00
1952,2022-08-04,981.00
4284,2023-06-26,7.50
622,2024-03-20,399.00
1892,2025-07-30,2150.00
3177,2024-07-31,1574.00
2599,2021-03-27,249.00
1782,2024-02-10,1334.00
4537,2023-03-16,478.00
768,2025-04-14,509.00
473,2021-08-09,350.00
4546,2023-12-18,321.00
3750,2021-02-11,100.00
4240,2022-12-04,415.00
1995,2024-08-18,225.00
2501,2022-05-10,1775.00
113,2021-09-03,1399.00
4907,2023-05-15,52.50
4667,2024-09-13,180.00
4297,2021-10-28,368.00
997,2024-09-07,24.00
2992,2022-09-20,1025.00
740,2023-12-24,266.00
2345,2024-06-20,1625.00
3582,2022-11-12,917.00
527,2021-02-07,500.00
931,2022-09-17,1460.00
4528,2025-07-01,75.00
1043,2020-11-02,32.00
8,2023-08-17,280.00
3282,2022-06-27,360.00
4365,2021-02-21,655.00
235,2025-04-21,725.00
2738,2024-03-25,1125.00
217,2023-02-24,810.00
933,2021-10-10,950.00
4638,2023-02-22,130.00
4520,2020-11-19,260.00
4950,2021-03-29,770.00
1127,2022-10-17,450.00
3070,2024-06-16,532.50
2267,2022-06-10,774.00
4422,2025-09-02,660.00
3915,2023-03-31,1365.00
2715,2022-12-17,1550.00
1105,2024-02-16,1015.00
489,2023-01-12,459.00
3141,2025-07-09,500.00
4928,2022-05-13,369.00
2309,2022-11-25,83.00
4769,2023-12-15,5.00
4939,2021-06-16,930.00
1473,2021-07-09,481.00
4896,2023-06-14,437.50
2874,2022-12-04,990.00
4184,2021-11-20,256.00
2344,2024-10-08,256.00
4979,2023-01-28,488.00
1959,2025-03-10,350.00
2690,2022-11-22,180.00
4671,2025-05-12,261.00
4711,2023-11-13,757.50
4658,2022-10-03,563.00
2552,2023-05-30,1310.00
1840,2022-05-26,1350.00
1390,2024-08-21,902.50
2440,2021-05-16,405.00
4131,2021-11-01,374.00
4647,2024-04-30,892.50
550,2022-07-22,11.50
3982,2025-09-02,252.50
3337,2024-07-28,307.50
3795,2021-04-06,24.00
832,2021-03-10,225.00
568,2022-11-14,617.50
2614,2024-01-18,1688.00
4458,2021-06-22,810.00
1873,2024-03-15,783.50
2855,2024-09-06,100.00
3234,2023-12-19,920.00
2324,2023-05-29,1374.00
1915,2023-07-03,586.00
2164,2025-09-07,1057.50
3931,2022-10-31,510.00
865,2022-05-16,375.00
2500,2024-01-15,247.50
4510,2020-11-24,360.00
514,2025-08-09,1250.00
660,2023-03-14,1570.00
4487,2025-03-23,360.00
1378,2022-08-03,756.00
289,2025-09-08,756.00
1453,2022-02-14,1152.50
1324,2023-02-05,2.50
4002,2025-07-10,880.00
2359,2023-10-14,16.00
1061,2021-05-12,259.00
222,2021-03-03,9.00
4548,2021-01-14,611.00
1653,2023-07-03,360.00
815,2025-05-14,620.00
53,2021-05-02,7.50
3905,2024-03-31,1340.00
239,2022-08-02,303.00
1417,2025-08-08,909.00
4818,2021-09-21,137.50
2706,2022-08-19,1625.00
4998,2023-01-09,387.50
3179,2024-10-05,540.00
4490,2025-07-05,675.00
2895,2024-09-18,268.00
2486,2023-11-21,360.00
3955,2022-08-10,1052.50
4913,2021-09-29,1824.00
1386,2022-03-07,1590.00
3390,2022-12-16,1700.00
1666,2024-03-26,965.00
1459,2024-03-31,1050.00
1998,2021-01-01,249.00
4789,2025-07-03,622.50
4154,2023-09-10,255.00
3130,2023-06-06,75.00
100,2025-08-01,612.50
3475,2021-09-11,461.00
1185,2023-03-02,335.00
1876,2021-05-24,58.00
2388,2024-07-28,799.00
1800,2020-12-30,546.00
2883,2024-02-04,1056.00
3495,2024-10-04,1140.00
2948,2023-10-06,250.50
4951,2023-05-16,1839.00
3474,2021-06-09,6.00
2293,2022-08-17,299.00
616,2025-03-07,540.00
3928,2024-01-22,250.00
2279,2024-05-08,450.00
1485,2025-09-02,225.00
1354,2021-01-08,766.50
2780,2024-08-30,486.00
758,2022-04-21,6.00
2294,2022-08-21,775.00
2912,2024-11-12,823.00
375,2025-07-27,6.00
954,2023-06-17,380.00
1926,2020-11-11,1360.00
4957,2022-08-19,800.00
3293,2021-03-16,560.00
4300,2024-12-30,1855.00
1198,2021-07-03,474.00
2765,2020-12-01,750.00
3749,2021-03-12,25.00
3957,2022-01-20,500.00
5000,2023-10-19,1553.00
3452,2021-01-22,1127.50
3327,2020-11-05,484.00
3581,2023-03-02,302.50
278,2021-04-29,975.00
957,2024-04-04,723.50
2716,2024-01-30,860.00
3860,2023-12-15,573.00
2556,2024-05-26,955.50
297,2022-09-08,688.00
1654,2025-08-24,24.00
3842,2025-04-12,740.00
1671,2024-03-29,842.50
1060,2024-12-21,650.00
1153,2023-05-21,1050.00
966,2021-03-06,233.00
3509,2020-10-26,1365.00
1229,2022-09-26,5.00
1143,2022-08-14,16.00
2053,2022-07-16,671.00
3778,2022-12-10,125.00
4329,2025-04-28,6.00
927,2022-03-05,285.00
4851,2023-02-14,414.00
4790,2020-12-17,485.00
3118,2024-12-16,1340.00
1014,2023-04-15,990.00
4054,2020-10-14,375.00
1114,2023-03-07,375.00
1338,2020-12-23,980.00
4184,2024-04-12,430.00
3517,2025-01-06,1230.00
4693,2022-02-12,930.00
113,2023-09-08,678.00
2306,2024-08-03,225.00
1646,2025-02-09,100.00
4990,2021-04-18,725.00
484,2022-07-24,1355.00
1282,2023-12-31,1090.00
922,2020-11-18,1375.00
3350,2025-04-30,270.00
723,2024-11-20,1800.00
576,2020-10-20,24.00
852,2020-11-21,75.00
2049,2024-08-16,383.00
1422,2020-12-22,24.00
528,2023-10-03,1040.00
426,2021-08-01,621.00
250,2022-12-29,102.50
507,2024-07-07,240.00
333,2020-10-21,775.00
1237,2022-08-28,1508.00
1426,2023-05-27,307.50
3288,2025-09-06,360.00
4962,2020-12-05,316.00
1657,2022-03-25,1100.00
2433,2022-09-10,755.00
744,2025-08-08,284.00
4332,2022-01-14,715.00
4627,2022-12-03,775.00
982,2024-10-31,78.00
432,2025-01-30,730.00
1935,2025-04-18,686.00
4080,2024-01-07,312.00
4450,2024-04-12,390.00
2937,2025-03-03,380.00
2796,2025-02-23,234.00
484,2022-11-21,1183.00
4809,2025-03-19,1925.00
3966,2023-09-29,1025.00
4326,2024-12-10,240.00
886,2023-02-17,695.00
4504,2021-07-10,1500.00
1272,2025-02-11,388.50
2751,2023-12-31,120.00
3960,2022-01-21,268.50
3585,2021-07-18,355.00
3141,2021-04-02,33.50
700,2025-08-29,25.00
1573,2021-02-24,200.00
4090,2024-03-26,397.50
3149,2023-12-14,3.00
3064,2021-05-29,655.00
1530,2024-12-26,796.00
3433,2023-04-26,543.00
197,2023-01-28,402.50
4489,2024-10-29,260.00
4016,2022-02-05,450.00
4810,2024-12-08,745.00
4860,2023-07-19,125.00
1972,2021-08-24,16.00
3603,2025-08-14,49.00
2488,2024-08-26,2.50
1559,2025-06-05,1465.00
3583,2022-09-05,254.00
1,2024-10-28,675.00
939,2025-04-19,746.00
3888,2024-02-05,453.00
4707,2021-02-09,390.00
615,2020-09-15,793.00
3956,2021-04-09,3.00
1659,2023-07-01,6.00
2240,2021-06-21,28.00
129,2025-02-11,330.00
685,2022-10-02,900.00
2419,2023-11-16,250.00
341,2024-02-05,1275.00
1912,2023-09-15,380.00
1207,2021-07-11,124.00
1488,2021-12-04,925.00
4666,2025-03-18,742.50
659,2025-01-15,965.00
104,2023-01-17,750.00
3240,2025-04-27,390.00
4815,2025-09-02,650.00
2464,2022-09-27,475.00
4057,2023-01-19,636.00
2643,2023-03-09,3.00
3964,2023-08-03,1775.00
4370,2022-07-01,420.00
3576,2024-05-04,378.00
3555,2022-05-05,1420.00
3983,2022-07-09,1050.00
1437,2021-08-14,1014.00
3622,2023-03-20,927.50
2641,2023-10-26,1125.00
3217,2024-03-26,300.00
4465,2021-03-12,628.00
2277,2024-08-17,1045.00
2451,2021-09-07,225.00
4201,2021-03-16,825.00
1190,2024-12-15,1277.50
2458,2023-10-12,3.00
1104,2022-07-01,1053.00
3974,2022-02-02,375.00
1321,2021-02-28,508.00
2029,2024-03-16,1350.00
4811,2024-06-21,240.00
1207,2023-06-03,1600.00
2163,2020-11-12,24.00
3827,2020-12-10,750.00
2491,2024-04-30,260.00
2,2022-04-10,757.50
3021,2025-07-06,630.00
3405,2023-03-29,243.00
450,2022-07-05,1085.00
3328,2025-08-16,225.00
1768,2022-10-25,700.00
4443,2024-10-25,750.00
686,2025-02-04,465.00
871,2021-07-04,256.00
1136,2022-01-17,401.50
3198,2023-01-12,1660.00
4520,2024-10-31,1375.00
1211,2023-12-12,540.00
1953,2025-08-20,250.00
123,2024-03-22,406.00
3300,2025-06-11,667.00
1087,2024-09-01,2185.00
4553,2022-02-22,1255.00
2960,2023-06-21,880.00
2057,2022-02-26,485.00
2913,2022-07-22,31.50
3908,2021-07-27,376.00
3387,2024-04-30,675.00
1354,2023-02-19,200.00
3044,2021-09-21,225.00
2626,2020-11-15,27.50
1631,2020-09-30,250.00
508,2021-10-14,840.00
319,2024-10-19,1343.00
3946,2020-11-23,50.00
281,2023-11-20,300.00
223,2022-08-13,360.00
4292,2021-11-18,1295.00
1897,2022-04-08,130.00
4702,2020-09-13,99.00
1740,2023-03-30,681.00
3043,2021-11-14,1130.00
79,2021-08-12,7.50
2324,2023-01-11,75.00
1744,2025-06-18,318.00
1385,2021-12-03,1050.00
2953,2021-12-08,1695.00
1725,2021-09-09,725.00
3563,2024-04-13,1488.00
2964,2021-07-29,186.00
3574,2022-08-11,490.00
2974,2022-12-30,360.00
3953,2024-11-27,24.00
188,2022-01-15,1113.00
4424,2022-04-12,700.00
2460,2021-03-04,283.00
4713,2022-04-21,450.00
2950,2022-03-17,49.00
4020,2023-06-22,1050.00
1813,2020-11-03,3.00
4333,2021-10-09,658.00
1691,2024-11-19,583.00
2906,2020-09-24,375.00
3945,2021-03-22,7.50
1528,2022-12-29,761.00
1492,2022-04-15,180.00
1279,2025-07-03,1125.00
184,2023-03-30,512.50
2705,2021-04-24,390.00
3588,2024-07-30,1230.00
746,2022-09-29,259.00
1943,2024-05-12,700.00
3970,2020-10-03,1215.00
2908,2025-01-17,918.00
3572,2023-09-07,758.00
2754,2022-11-08,549.00
2983,2022-08-03,25.00
1714,2022-06-04,725.00
3883,2025-08-07,641.00
1276,2022-01-24,1455.00
1702,2020-10-15,240.00
2493,2022-03-15,240.00
2077,2022-05-24,990.00
2379,2024-05-16,400.00
1103,2024-11-05,295.50
3190,2025-09-11,380.00
4544,2025-01-07,758.00
91,2021-06-08,7.50
206,2022-09-13,390.00
1696,2020-12-05,2.50
806,2022-05-10,401.50
4131,2022-10-07,7.50
3352,2025-03-04,16.00
3337,2023-09-01,7.50
4839,2023-12-30,350.00
2985,2022-08-13,75.00
388,2020-11-07,540.00
1316,2020-09-15,250.00
2802,2023-01-17,490.00
2734,2022-11-28,1998.00
1951,2022-09-24,250.00
3084,2025-08-24,200.00
2581,2024-01-29,710.00
3161,2021-09-12,805.00
2996,2022-01-24,390.00
458,2025-06-16,450.00
2966,2023-08-22,259.00
1851,2024-05-01,1110.00
2819,2024-11-17,995.00
3880,2025-03-02,106.00
4280,2023-04-24,50.00
3509,2025-07-19,709.00
817,2020-09-29,325.00
3674,2020-11-27,387.50
2707,2024-03-20,950.00
2552,2024-08-20,325.00
626,2022-10-11,257.50
272,2021-11-11,360.00
4983,2024-04-27,799.00
4438,2024-05-08,252.50
2392,2024-05-24,54.00
3204,2023-12-30,736.00
1737,2023-03-14,1011.00
3182,2024-06-08,130.00
3672,2025-08-25,1125.00
568,2024-09-29,440.50
3565,2024-07-20,1055.00
3405,2023-04-21,130.00
3521,2025-05-03,400.00
1289,2021-06-05,287.00
4917,2022-11-04,1875.00
4462,2025-04-05,240.00
331,2024-12-15,1405.00
3504,2025-07-13,724.00
4448,2021-01-03,698.50
1246,2021-03-16,1125.00
4539,2025-01-17,1317.00
3210,2021-05-02,1660.00
549,2025-07-17,1183.00
98,2021-03-25,3.00
748,2023-03-03,1620.00
4113,2021-11-12,300.00
4882,2021-04-27,250.00
4739,2025-04-28,509.00
1820,2020-09-29,2.50
1304,2025-03-18,909.00
3389,2022-04-06,1450.00
1254,2021-12-24,1280.00
1357,2024-04-22,306.00
2794,2021-02-10,126.00
505,2024-01-12,6.00
2454,2023-06-13,410.00
330,2022-12-02,1024.00
3600,2023-02-20,1442.50
831,2020-12-20,851.00
4977,2021-12-14,1475.00
1304,2021-10-29,31.50
612,2024-08-29,75.00
3272,2024-02-22,1535.00
4409,2020-11-17,564.00
4066,2024-05-08,675.00
4922,2025-08-14,350.00
2439,2024-08-14,540.00
3103,2023-01-01,300.00
3917,2021-09-03,505.00
4156,2022-05-03,259.00
302,2022-04-02,1052.50
4275,2022-03-02,1050.00
3112,2021-07-16,620.00
850,2021-08-04,500.00
3609,2023-06-02,1215.00
3474,2021-07-14,725.00
80,2022-06-06,1190.00
908,2020-09-19,356.00
2301,2022-12-10,325.00
4551,2024-08-18,200.00
1125,2024-10-01,1307.00
1473,2022-02-26,398.50
2921,2021-07-05,1055.00
4671,2022-05-25,200.00
4405,2025-08-28,1265.00
2661,2023-06-29,932.50
3384,2022-05-20,1375.00
4767,2024-03-20,1450.00
156,2024-08-19,700.00
1755,2021-12-14,50.00
581,2024-08-25,930.00
3774,2022-06-19,1355.00
3521,2020-11-08,5.00
3877,2024-04-25,9.00
4298,2021-07-24,405.00
2330,2022-03-22,920.00
3736,2025-08-02,6.00
2574,2023-11-27,725.00
4001,2021-07-20,835.00
3026,2022-07-12,250.00
3206,2022-04-08,30.00
120,2021-09-12,1408.00
346,2022-09-17,343.00
4108,2020-12-08,1075.00
3141,2025-06-25,1110.00
1218,2020-11-10,216.00
479,2022-05-24,746.00
3405,2021-11-03,540.00
338,2021-12-11,1150.00
4450,2022-05-25,991.00
1983,2024-01-22,705.00
2903,2021-05-29,1150.00
2459,2023-07-13,301.00
1431,2025-02-25,1130.50
3686,2023-05-31,250.00
1633,2021-03-18,986.50
3209,2023-10-20,860.00
2882,2022-09-09,225.00
4088,2021-08-28,745.00
3452,2023-07-02,9.00
4126,2020-11-02,990.00
1171,2021-06-05,180.00
2767,2025-04-27,1014.00
1258,2021-01-04,640.00
4336,2023-05-11,1375.00
1112,2021-09-12,360.00
256,2020-09-25,624.00
4305,2024-12-16,381.00
1810,2023-03-23,683.00
4707,2023-10-05,5.00
2543,2024-06-09,953.00
3338,2024-01-15,270.50
2713,2022-08-12,75.00
666,2023-01-26,500.00
4727,2024-02-18,1090.00
669,2024-10-02,1072.00
384,2021-10-28,333.00
2058,2022-02-20,1085.00
3400,2023-02-26,460.00
2575,2024-07-24,2650.00
93,2021-09-18,713.50
1459,2022-03-12,1625.00
3003,2020-10-26,509.00
4428,2022-10-02,1325.00
2044,2020-12-15,675.00
1733,2021-07-04,205.00
1120,2020-12-19,663.00
1164,2021-06-23,540.00
3739,2022-09-30,366.00
1586,2022-02-04,610.00
1477,2024-04-13,213.00
4742,2021-10-03,465.00
2692,2021-03-27,585.00
2877,2024-03-29,250.00
3747,2022-09-28,158.00
3812,2024-05-26,1180.00
3362,2024-11-01,250.00
3845,2025-03-17,625.00
3172,2020-12-31,715.00
3541,2023-08-28,533.00
1907,2021-10-17,1080.00
645,2023-02-16,552.50
4114,2022-02-09,180.00
3641,2023-03-06,864.00
1480,2021-03-17,1340.00
4459,2025-08-22,887.50
980,2023-08-20,750.00
4641,2021-11-12,363.00
3755,2025-06-11,615.00
4758,2023-11-14,1335.00
3375,2023-09-04,846.00
1365,2021-02-23,1306.00
4473,2021-08-29,776.00
3402,2022-04-25,495.00
4314,2021-03-07,1200.00
2278,2020-11-02,1875.00
1442,2025-04-03,1810.00
1026,2025-08-28,6.00
1911,2024-08-18,573.00
2969,2025-08-18,360.00
1047,2022-10-28,660.00
1944,2025-05-04,1098.00
1614,2022-09-05,525.00
1457,2023-05-24,731.00
849,2020-12-25,545.00
410,2022-07-02,389.00
2550,2024-09-23,109.00
3697,2023-10-13,415.00
873,2021-01-11,725.00
4800,2025-04-01,125.00
651,2025-03-22,1813.00
2777,2023-05-16,225.00
3414,2022-12-25,966.00
998,2022-12-16,3.00
2741,2023-06-20,750.00
1018,2023-02-20,1527.50
1871,2024-09-01,2.50
449,2024-11-29,584.00
4182,2021-01-16,1425.00
68,2025-09-02,56.00
3056,2024-12-07,698.50
2592,2023-09-02,1710.00
4603,2021-03-30,7.50
306,2022-07-07,1495.00
3633,2023-12-01,540.00
3868,2023-07-15,455.00
302,2024-06-23,390.00
3420,2024-02-21,256.00
4019,2024-11-20,8.00
4021,2021-12-09,1050.00
3884,2024-01-25,390.00
1319,2024-11-12,296.50
